game_id,game_date,game_time_utc,game_date_est,game_code,arena_name,arena_city,arena_state,home_team,away_team,home_score_sched,away_score_sched,espn_event_id,espn_game_name,espn_start,odds_provider_id,odds_provider_name,market_details,market_over_under_current,market_spread_current,market_home_ml_current,market_away_ml_current,market_home_spread_close,market_away_spread_close,market_home_spread_open,market_away_spread_open,market_total_close,market_total_open,market_total_current,market_home_ml_close,market_away_ml_close,market_home_implied_prob_close_raw,market_away_implied_prob_close_raw,market_home_implied_prob_close,market_away_implied_prob_close
0022500734,02/05/2026 00:00:00,2026-02-06 00:00:00+00:00,20260205,20260205/BKNORL,Kia Center,Orlando,FL,ORL,BKN,118,98,401810589,Brooklyn Nets at Orlando Magic,2026-02-06T00:00Z,100,Draft Kings,ORL -9.5,214.5,-9.5,-395.0,310.0,-9.5,9.5,-11.5,11.5,214.5,214.5,214.5,-395.0,310.0,0.797979797979798,0.24390243902439024,0.7659021045164341,0.23409789548356585
0022500735,02/05/2026 00:00:00,2026-02-06 00:30:00+00:00,20260205,20260205/UTAATL,State Farm Arena,Atlanta,GA,ATL,UTA,121,119,401810590,Utah Jazz at Atlanta Hawks,2026-02-06T00:30Z,100,Draft Kings,ATL -8.5,245.5,-8.5,-310.0,250.0,-8.5,8.5,-9.5,9.5,245.5,238.5,245.5,-310.0,250.0,0.7560975609756098,0.2857142857142857,0.725752508361204,0.27424749163879597
0022500736,02/05/2026 00:00:00,2026-02-06 00:30:00+00:00,20260205,20260205/CHITOR,Scotiabank Arena,Toronto,ON,TOR,CHI,123,107,401810591,Chicago Bulls at Toronto Raptors,2026-02-06T00:30Z,100,Draft Kings,TOR -7.5,227.5,-7.5,-310.0,250.0,-7.5,7.5,-9.5,9.5,227.5,227.5,227.5,-310.0,250.0,0.7560975609756098,0.2857142857142857,0.725752508361204,0.27424749163879597
0022500737,02/05/2026 00:00:00,2026-02-06 01:00:00+00:00,20260205,20260205/CHAHOU,Toyota Center,Houston,TX,HOU,CHA,99,109,401810592,Charlotte Hornets at Houston Rockets,2026-02-06T01:00Z,100,Draft Kings,HOU -4.5,218.5,-4.5,-185.0,154.0,-4.5,4.5,-4.5,4.5,218.5,219.5,218.5,-185.0,154.0,0.6491228070175439,0.3937007874015748,0.6224665518611737,0.3775334481388264
0022500738,02/05/2026 00:00:00,2026-02-06 01:30:00+00:00,20260205,20260205/SASDAL,American Airlines Center,Dallas,TX,DAL,SAS,123,135,401810593,San Antonio Spurs at Dallas Mavericks,2026-02-06T01:30Z,100,Draft Kings,SA -7.5,230.5,7.5,250.0,-310.0,7.5,-7.5,5.5,-5.5,230.5,225.5,230.5,250.0,-310.0,0.2857142857142857,0.7560975609756098,0.27424749163879597,0.725752508361204
0022500739,02/05/2026 00:00:00,2026-02-06 03:00:00+00:00,20260205,20260205/GSWPHX,Mortgage Matchup Center,Phoenix,AZ,PHX,GSW,97,101,401810594,Golden State Warriors at Phoenix Suns,2026-02-06T03:00Z,100,Draft Kings,PHX -5.5,212.5,-5.5,-218.0,180.0,-5.5,5.5,-6.5,6.5,212.5,221.5,212.5,-218.0,180.0,0.6855345911949685,0.35714285714285715,0.6574752261956054,0.34252477380439467
0022500740,02/05/2026 00:00:00,2026-02-06 03:00:00+00:00,20260205,20260205/PHILAL,Crypto.com Arena,Los Angeles,CA,LAL,PHI,119,115,401810595,Philadelphia 76ers at Los Angeles Lakers,2026-02-06T03:00Z,100,Draft Kings,LAL -2.5,236.5,-2.5,-135.0,114.0,-2.5,2.5,-3.5,3.5,236.5,231.5,236.5,-135.0,114.0,0.574468085106383,0.4672897196261682,0.551441114716549,0.448558885283451
0022500741,02/06/2026 00:00:00,2026-02-07 00:30:00+00:00,20260206,20260206/MIABOS,TD Garden,Boston,MA,BOS,MIA,98,96,401810596,Miami Heat at Boston Celtics,2026-02-07T00:30Z,100,Draft Kings,BOS -5.5,227.5,-5.5,-225.0,185.0,-5.5,5.5,-7.5,7.5,227.5,229.5,227.5,-225.0,185.0,0.6923076923076923,0.3508771929824561,0.6636481241914618,0.33635187580853815
0022500742,02/06/2026 00:00:00,2026-02-07 00:30:00+00:00,20260206,20260206/NYKDET,Little Caesars Arena,Detroit,MI,DET,NYK,118,80,401810597,New York Knicks at Detroit Pistons,2026-02-07T00:30Z,100,Draft Kings,DET -5.5,219.5,-5.5,-218.0,180.0,-5.5,5.5,-1.5,1.5,219.5,224.5,219.5,-218.0,180.0,0.6855345911949685,0.35714285714285715,0.6574752261956054,0.34252477380439467
0022500743,02/06/2026 00:00:00,2026-02-07 01:00:00+00:00,20260206,20260206/INDMIL,Fiserv Forum,Milwaukee,WI,MIL,IND,105,99,401810598,Indiana Pacers at Milwaukee Bucks,2026-02-07T01:00Z,100,Draft Kings,IND -1.5,223.5,1.5,102.0,-122.0,1.5,-1.5,-1.5,1.5,223.5,223.5,223.5,102.0,-122.0,0.49504950495049505,0.5495495495495496,0.4739134147382802,0.5260865852617197
